,Time,BTCUSDT,MDTUSDT
533,2023-06-04 19:29:00,27197.56,0.04954
534,2023-06-04 19:30:00,27186.88,0.04957
535,2023-06-04 19:31:00,27188.93,0.04948
536,2023-06-04 19:32:00,27195.47,0.04946
537,2023-06-04 19:33:00,27195.47,0.0494
538,2023-06-04 19:34:00,27191.92,0.04941
539,2023-06-04 19:35:00,27191.92,0.04939
540,2023-06-04 19:36:00,27191.92,0.04935
541,2023-06-04 19:37:00,27191.91,0.04934
542,2023-06-04 19:38:00,27195.88,0.0494
543,2023-06-04 19:39:00,27195.89,0.04938
544,2023-06-04 19:40:00,27195.89,0.04938
545,2023-06-04 19:41:00,27196.07,0.0493
546,2023-06-04 19:42:00,27196.07,0.04927
547,2023-06-04 19:43:00,27193.2,0.04924
548,2023-06-04 19:44:00,27187.76,0.04927
549,2023-06-04 19:45:00,27187.76,0.04925
550,2023-06-04 19:46:00,27187.77,0.04924
551,2023-06-04 19:47:00,27189.07,0.04924
552,2023-06-04 19:48:00,27189.07,0.04921
